年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
1994,199405,提姆,TIM,3,"1994-07-09 10:20
1994-07-11 15:40",強烈,945,53,250,120,10
1993,199316,亞伯,ABE,5,"1993-09-10 21:30
1993-09-14 09:10",中度,950,43,150,50,15
1993,199314,楊希,YANCY,---,"1993-08-31 21:30
1993-09-02 16:00",強烈,935,51,250,120,8
1993,199311,塔莎,TASHA,---,"1993-08-17 16:10
1993-08-19 09:40",輕度,975,25,200,---,8
1992,199219,泰德,TED,6,"1992-09-20 10:15
1992-09-23 14:55",輕度,985,30,200,50,14
1992,199216,寶莉,POLLY,3,"1992-08-27 11:40
1992-08-31 09:40",輕度,975,23,200,---,17
1992,199215,歐馬,OMAR,3,"1992-09-03 08:50
1992-09-05 17:45",中度,945,40,200,100,11
1992,199213,馬克,MARK,---,"1992-08-16 16:40
1992-08-19 15:10",輕度,988,20,100,---,13
1992,199202,芭比,BOBBIE,---,"1992-06-26 15:30
1992-06-28 21:10",中度,948,48,200,100,10
1991,199124,席斯,SETH,---,"1991-11-12 21:45
1991-11-14 15:00",中度,920,33,250,100,8
1991,199123,露絲,RUTH,---,"1991-10-26 09:50
1991-10-30 09:30",強烈,910,58,350,150,17
1991,199120,耐特,NAT,特殊,"1991-09-22 10:45
1991-09-24 18:30",強烈,945,51,200,80,11
,,,,,"1991-09-30 10:45
1991-10-02 06:30",輕度,945,30,150,50,9
1991,199119,密瑞兒,MIREILLE,---,"1991-09-25 08:30
1991-09-27 06:30",強烈,925,53,300,150,9
1991,199111,愛麗,ELLIE,2,"1991-08-16 03:30
1991-08-18 20:10",中度,965,33,150,50,12
1991,199108,布籃登,BRENDAN,---,"1991-07-22 16:10
1991-07-23 18:30",中度,978,33,250,100,6
