"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"96年 5月","284,202,150","278,348,576","  7,090,018","146,361,049","116,043,331"," 30,317,718","  2,472,559","  2,087,420","    385,139","  9,633,878","  8,352,496","    368,260","  4,026,846","          －"," 42,045,237","          －","  6,785,483","          －","    319,896","  6,465,587"," 35,010,491"," 13,632,092","  1,289,754","  1,127,310","    152,569","          －","          －","          －","          －","        534","          －","          －","          －","          －","  4,325,191"
"96年 6月","283,702,571","281,852,499","  6,408,731","221,383,350","106,841,683","114,541,667","  2,142,024","  1,633,745","    508,279"," 16,159,369"," 11,690,968","    442,495","  4,215,183","          －"," -5,330,615","          －","  7,573,168","          －","    312,078","  7,261,090"," 14,692,337","    848,110","  1,080,163","    390,182","    156,748","          －","          －","          －","          －","        286","          －","          －","          －","          －","    215,070"
"96年 7月","109,893,599","103,813,539","  7,156,582","    118,937","  1,792,459"," -1,673,522","  1,713,336","  1,144,960","    568,376"," 12,497,888"," 19,126,971","    739,341","  4,446,654","          －"," 47,531,663","          －","  6,653,260","          －","    403,688","  6,249,572","    667,670","    661,729","  1,199,550","  1,153,387","    146,300","          －","          －","          －","          －","        271","          －","          －","          －","          －","  4,207,345"
"96年 8月"," 97,964,669"," 96,164,234","  7,099,262"," 43,036,496","  7,304,438"," 35,732,058","  1,978,817","  1,562,030","    416,787"," 16,084,814"," 14,852,294","    749,312","  4,549,991","          －"," -1,637,403","          －","  6,460,466","          －","    296,637","  6,163,829","    563,010","    729,359","  1,110,719","    414,676","    171,014","          －","          －","          －","          －","      1,407","          －","          －","          －","          －","    270,281"
"96年 9月","185,065,505","178,622,546","  6,152,690"," 96,125,789"," 62,973,687"," 33,152,102","  2,384,184","  2,064,739","    319,445","  9,352,584","  9,392,973","    387,946","  4,184,799","          －"," 42,670,660","          －","  4,921,841","          －","    237,977","  4,683,864","    384,024","    368,679","    933,623","  1,213,900","    148,657","          －","          －","          －","          －","        197","          －","          －","          －","          －","  4,613,999"
"96年 10月","128,202,855","126,356,662","  7,126,920"," 77,785,176"," 66,007,420"," 11,777,756","  2,621,861","  2,287,690","    334,171"," 14,466,969"," 12,611,270","    503,399","  4,081,105","          －"," -2,635,667","          －","  7,197,595","          －","  1,135,907","  6,061,688","    340,958","    684,607","  1,088,399","    324,473","    159,396","          －","          －","          －","          －","        201","          －","          －","          －","          －","    393,156"
"96年 11月","161,359,053","154,933,099","  7,381,066"," 24,968,344","  6,310,125"," 18,658,219","  2,784,034","  2,372,299","    411,735"," 11,056,690"," 10,713,067","    660,207","  4,500,249","          －"," 47,293,324","          －"," 42,227,742","          －"," 37,577,817","  4,649,925","    281,294","    625,787","  1,152,421","  1,145,708","    142,622","          －","          －","          －","          －","        544","          －","          －","          －","          －","  4,574,716"
"96年 12月"," 91,325,815"," 88,938,156","  7,444,919"," 26,471,678","  8,225,982"," 18,245,696","  3,935,781","  2,185,899","  1,749,882"," 11,269,088","  8,291,923","    578,591","  4,294,913","          －","  1,563,968","        279"," 22,740,643","          －"," 16,380,373","  6,360,270","    312,289","    253,676","  1,207,814","    428,014","    143,722","          －","          －","          －","          －","        858","          －","          －","          －","          －","    687,933"
"97年","1,760,438,282","1,710,617,299"," 80,425,705","834,988,400","445,244,861","389,743,539"," 28,977,696"," 23,871,158","  5,106,538","126,659,613"," 90,630,291","  6,691,514"," 49,506,301","          －","243,960,817","         21","116,082,367","          －"," 59,126,928"," 56,955,439"," 55,343,250"," 53,254,944"," 12,696,095","  9,649,862","  1,745,023","          －","          －","          －","          －","      5,400","          －","          －","          －","          －"," 29,706,001"
"97年 1月","124,654,593","121,620,038","  7,780,881"," 28,852,586","  3,085,228"," 25,767,358","  1,797,644","  1,221,930","    575,714"," 10,907,165"," 10,218,414","    746,918","  3,840,023","          －"," 47,042,279","          －","  6,794,160","          －","    916,662","  5,877,498","    278,140","    847,799","  1,217,000","  1,139,136","    157,453","          －","          －","          －","          －","        440","          －","          －","          －","          －","  1,464,373"
"97年 2月"," 53,908,718"," 51,707,557","  5,939,511"," 26,607,413","  2,817,433"," 23,789,980","  1,429,649","  1,019,834","    409,815"," 13,032,269","  5,752,029","    404,077","  4,763,997","          －","-11,969,779","          －","  3,779,204","          －","    314,177","  3,465,027","    155,006","    668,832","    706,108","    307,250","    131,584","          －","          －","          －","          －","        407","          －","          －","          －","          －","    197,793"
"97年 3月","125,377,774","115,947,190","  6,470,789"," 26,823,122","  3,353,924"," 23,469,198","  2,658,781","  2,277,074","    381,707"," 10,239,397"," 11,116,363","    754,747","  3,409,876","          －"," 44,356,746","          －","  5,706,800","          －","    488,183","  5,218,617","    269,034","  1,710,827","  1,135,947","  1,146,355","    148,278","          －","          －","          －","          －","        128","          －","          －","          －","          －","  7,984,525"
"97年 4月","102,943,988","101,080,580","  7,289,637"," 20,114,512","   -857,367"," 20,971,879","  2,355,856","  1,903,422","    452,434"," 13,905,608"," 11,523,208","    683,383","  3,739,625","          －","   -618,620","          －","  5,674,206","          －","    488,958","  5,185,248","  1,327,352"," 33,230,176","  1,325,306","    383,063","    147,104","          －","          －","          －","          －","        164","          －","          －","          －","          －","    269,036"
"97年 5月","248,331,911","241,789,267","  6,783,791","101,831,207"," 71,303,459"," 30,527,748","  5,976,587","  5,535,657","    440,930"," 10,984,673"," 10,677,453","    652,266","  4,109,385","          －"," 45,410,805","          －","  6,186,819","          －","    342,973","  5,843,846"," 33,372,382"," 12,922,175","  1,418,742","  1,322,999","    139,863","          －","          －","          －","          －","        120","          －","          －","          －","          －","  5,005,425"
"97年 6月","392,821,176","390,782,230","  6,698,094","332,543,842","193,049,423","139,494,419","  2,382,201","  1,987,389","    394,812"," 11,524,428","  7,382,058","    663,731","  4,417,151","          －"," -1,440,548","          －","  6,296,079","          －","     40,892","  6,255,187"," 17,694,775","    788,844","  1,281,784","    415,304","    134,381","          －","          －","          －","          －","        106","          －","          －","          －","          －","    263,655"
"97年 7月"," 81,916,027"," 75,666,699","  7,353,053","-14,459,757","  1,418,233","-15,877,990","  2,911,308","  2,155,489","    755,819","  9,888,406","  7,718,856","    709,557","  4,129,019","          －"," 48,007,075","          －","  5,546,103","          －","    329,059","  5,217,044","    582,858","    585,131","  1,178,878","  1,371,165","    144,796","          －","          －","          －","          －","        251","          －","          －","          －","          －","  4,693,005"
"97年 8月"," 80,564,434"," 78,751,463","  6,584,019"," 45,160,885","  6,521,725"," 38,639,160","  1,584,869","  1,222,116","    362,753","  9,827,914","  6,675,841","    597,748","  4,063,384","          －"," -2,970,964","          －","  4,634,263","          －","    311,443","  4,322,820","    469,555","    581,828","    939,591","    435,464","    165,574","          －","          －","          －","          －","      1,492","          －","          －","          －","          －","    224,569"
"97年 9月","216,855,763","210,371,525","  6,322,831","125,594,739"," 76,089,131"," 49,505,608","  2,187,064","  1,933,758","    253,306","  8,683,633","  6,406,735","    621,022","  4,540,032","          －"," 48,834,570","          －","  4,071,294","          －","    367,792","  3,703,502","    445,304","    398,887","    867,873","  1,233,347","    163,892","          －","          －","          －","          －","        302","          －","          －","          －","          －","  4,631,949"
"97年 10月","110,310,343","108,704,478","  6,900,109"," 85,714,678"," 77,074,539","  8,640,139","  2,444,144","  2,128,098","    316,046","  9,290,128","  4,278,619","    335,038","  3,765,588","          －","-12,308,824","          －","  5,929,638","          －","  1,722,028","  4,207,610","    272,609","    737,413","    886,994","    320,359","    137,931","          －","          －","          －","          －","         54","          －","          －","          －","          －","    193,795"
"97年 11月","134,295,450","128,126,825","  6,070,554"," 26,514,207","  3,900,576"," 22,613,631","  1,257,631","    976,760","    280,871","  6,182,497","  3,881,264","    270,756","  4,043,171","          －"," 43,672,324","          －"," 33,385,817","          －"," 30,498,793","  2,887,024","    236,384","    527,810","    775,592","  1,168,113","    139,979","          －","          －","          －","          －","        726","          －","          －","          －","          －","  4,404,328"
"97年 12月"," 88,458,105"," 86,069,447","  6,232,436"," 29,690,966","  7,488,557"," 22,202,409","  1,991,962","  1,509,631","    482,331"," 12,193,495","  4,999,451","    252,271","  4,685,050","          －"," -4,054,247","         21"," 28,077,984","          －"," 23,305,968","  4,772,016","    239,851","    255,222","    962,280","    407,307","    134,188","          －","          －","          －","          －","      1,210","          －","          －","          －","          －","    373,548"
"98年","1,530,282,190","1,483,518,036"," 68,827,432","640,966,779","334,162,587","306,804,192"," 22,327,164"," 17,224,637","  5,102,527","127,878,770","105,956,213","  3,749,691"," 45,349,092","          －","223,503,049","         38","112,366,946","          －"," 59,053,891"," 53,313,055"," 56,346,975"," 53,049,587"," 13,065,855","  8,463,872","  1,666,423","          －","          －","          －","          －","        150","          －","          －","          －","          －"," 21,853,430"
"98年 1月"," 74,126,008"," 68,025,594","  4,950,634"," 23,624,652","  2,050,255"," 21,574,397","    579,611","    401,153","    178,458","  4,284,706","  3,168,089","    140,345","  3,971,750","          －"," 21,495,526","          －","  3,304,282","          －","    707,089","  2,597,193","    163,059","    538,988","    587,571","  1,068,070","    148,117","          －","          －","          －","          －","        194","          －","          －","          －","          －","  4,234,286"
"98年 2月"," 72,523,874"," 70,348,269","  4,719,600"," 29,482,641","  2,389,513"," 27,093,128","  2,523,123","  2,302,805","    220,318"," 13,793,415","  3,968,428","    186,538","  4,319,068","          －","  6,474,806","          －","  2,888,889","          －","    230,923","  2,657,966","    142,957","    727,972","    750,425","    226,385","    144,086","          －","          －","          －","          －","        -64","          －","          －","          －","          －","    343,593"
"98年 3月"," 98,841,759"," 93,768,559","  5,472,653"," 18,816,413","  1,111,795"," 17,704,618","  1,663,194","  1,289,452","    373,742","  9,696,255","  7,526,331","    281,651","  3,750,596","          －"," 37,956,193","          －","  4,184,935","          －","    506,165","  3,678,770","    176,761","  2,214,301","    899,783","    978,283","    151,443","          －","          －","          －","          －","       -233","          －","          －","          －","          －","  3,339,198"
"98年 4月"," 91,245,966"," 89,724,564","  5,417,544"," 18,210,858","   -235,445"," 18,446,303","  1,597,785","  1,301,617","    296,168"," 11,994,488"," 10,767,586","    385,504","  3,923,496","          －"," -3,796,572","          －","  4,280,083","          －","    500,857","  3,779,226","  1,662,518"," 33,837,703","    999,622","    310,767","    133,523","          －","          －","          －","          －","       -341","          －","          －","          －","          －","    206,699"
"98年 5月","193,236,636","187,951,193","  4,815,280"," 74,114,735"," 49,437,474"," 24,677,261","  1,821,953","  1,528,882","    293,071","  9,196,950"," 11,307,109","    329,878","  3,694,467","          －"," 35,230,679","          －","  3,522,830","          －","    468,739","  3,054,091"," 29,991,972"," 11,684,174","  1,083,575","  1,033,955","    124,020","          －","          －","          －","          －","       -384","          －","          －","          －","          －","  3,211,097"
"98年 6月","327,968,449","325,407,458","  5,677,295","258,005,005","131,434,871","126,570,134","  1,629,487","  1,254,732","    374,755"," 10,718,423"," 11,140,237","    363,331","  4,515,973","          －","  1,417,979","          －","  7,408,598","          －","    694,130","  6,714,468"," 21,819,983","    920,581","  1,267,375","    380,032","    144,294","          －","          －","          －","          －","     -1,135","          －","          －","          －","          －","    296,389"
"98年 7月"," 65,322,590"," 60,619,831","  6,028,881","-24,561,593","  3,309,490","-27,871,083","  1,577,220","  1,234,225","    342,995"," 11,053,012"," 10,496,559","    337,951","  3,554,800","          －"," 43,344,325","          －","  5,017,419","          －","    236,505","  4,780,914","    471,730","    686,116","  1,333,745","  1,143,032","    136,942","          －","          －","          －","          －","       -308","          －","          －","          －","          －","  3,259,192"
"98年 8月"," 72,315,572"," 70,362,456","  5,617,226"," 36,660,393"," 10,991,891"," 25,668,502","  2,172,273","  1,744,448","    427,825"," 10,580,883","  8,288,299","    329,870","  3,152,729","          －"," -4,279,170","          －","  5,015,415","          －","    368,357","  4,647,058","    380,992","    608,512","  1,262,706","    430,209","    141,945","          －","          －","          －","          －","        174","          －","          －","          －","          －","    210,824"
"98年 9月","205,400,076","199,954,432","  6,018,588","117,071,287"," 79,686,277"," 37,385,010","  1,894,498","  1,414,877","    479,621"," 11,044,540","  9,535,413","    371,404","  3,459,188","          －"," 42,505,572","          －","  4,956,448","          －","    203,504","  4,752,944","    439,869","    309,601","  1,134,561","  1,066,994","    146,454","          －","          －","          －","          －","         15","          －","          －","          －","          －","  3,080,152"
"98年 10月"," 81,145,996"," 78,435,201","  6,035,676"," 42,563,524"," 38,606,153","  3,957,371","  2,173,082","  1,708,575","    464,507"," 10,727,814","  9,953,598","    368,276","  3,561,984","          －"," -6,270,115","          －","  6,468,414","          －","  1,206,920","  5,261,494","    491,989","    642,858","  1,242,290","    343,922","    131,112","          －","          －","          －","          －","        777","          －","          －","          －","          －","    287,935"
"98年 11月","146,502,685","140,736,790","  6,283,389"," 19,576,299","  4,655,234"," 14,921,065","  1,707,511","    982,413","    725,098"," 11,413,017","  8,228,092","    307,772","  3,456,937","          －"," 45,811,601","          －"," 40,735,678","          －"," 36,020,453","  4,715,225","    269,531","    620,614","  1,141,364","  1,051,030","    133,213","          －","          －","          －","          －","        742","          －","          －","          －","          －","  3,218,755"
"98年 12月","101,652,579"," 98,183,689","  7,790,666"," 27,402,565"," 10,725,079"," 16,677,486","  2,987,427","  2,061,458","    925,969"," 13,375,267"," 11,576,472","    347,171","  3,988,104","          －","  3,612,225","         38"," 24,583,955","          －"," 17,910,249","  6,673,706","    335,614","    258,167","  1,362,838","    431,193","    131,274","          －","          －","          －","          －","        713","          －","          －","          －","          －","    165,310"
"99年","1,622,244,070","1,565,847,055"," 89,484,228","590,387,476","285,701,268","304,686,208"," 40,329,876"," 31,264,086","  9,065,790","150,777,174","104,574,112","  4,556,136"," 44,516,115","          －","268,213,690","         11","136,356,984","          －"," 63,044,266"," 73,312,718"," 58,202,695"," 54,051,738"," 13,815,457","  8,944,538","  1,645,676","          －","          －","          －","          －","     -8,851","          －","          －","          －","          －"," 21,602,057"
"99年 1月","113,277,930","108,051,345","  6,102,411"," 21,514,649","  1,782,127"," 19,732,522","  1,842,622","  1,348,336","    494,286","  8,888,679"," 10,934,463","    380,093","  4,503,865","          －"," 43,184,001","          －","  7,418,277","          －","    613,794","  6,804,483","    132,038","    696,734","  1,234,590","  1,096,585","    132,557","          －","          －","          －","          －","    -10,219","          －","          －","          －","          －","  3,014,720"
"99年 2月"," 30,505,402"," 26,090,279","  5,992,143"," 23,122,910","  2,300,138"," 20,822,772","  1,745,174","  1,397,294","    347,880","  8,777,603","  5,091,517","    299,207","  2,662,208","          －","-28,651,356","          －","  4,944,157","          －","    239,003","  4,705,154","    187,792","    711,166","    785,088","    286,971","    135,651","          －","          －","          －","          －","         48","          －","          －","          －","          －","    710,209"
"99年 3月","151,518,917","145,948,975","  7,197,288"," 30,842,407","  3,583,069"," 27,259,338","  1,664,508","  1,217,753","    446,755"," 13,864,388","  8,550,027","    387,196","  3,290,983","          －"," 67,757,367","          －","  7,453,743","          －","    380,615","  7,073,128","    267,978","  2,358,993","  1,177,358","    991,523","    145,065","          －","          －","          －","          －","        151","          －","          －","          －","          －","  3,120,771"
"99年 4月"," 97,753,297"," 94,727,678","  7,101,967"," 17,669,766","      5,981"," 17,663,785","  1,574,155","  1,183,491","    390,664"," 13,282,522","  9,626,058","    363,089","  3,309,399","          －"," -2,600,224","          －","  6,655,085","          －","    529,170","  6,125,915","  1,567,383"," 34,497,275","  1,190,946","    357,625","    132,583","          －","          －","          －","          －","         49","          －","          －","          －","          －","    386,229"
"99年 5月","270,063,514","264,367,546","  7,721,777","122,835,648"," 96,686,326"," 26,149,322","  2,441,576","  1,898,773","    542,803"," 12,325,029","  8,007,534","    470,868","  3,450,691","          －"," 48,162,237","          －","  7,355,826","          －","    556,625","  6,799,201"," 37,367,393"," 11,757,500","  1,229,070","  1,105,661","    136,789","          －","          －","          －","          －","        -53","          －","          －","          －","          －","  3,091,033"
"99年 6月","235,335,442","232,189,949","  7,895,193","175,501,886"," 83,737,178"," 91,764,708","  1,847,202","  1,363,284","    483,918"," 14,372,072","  6,374,913","    370,490","  3,702,083","          －"," -3,371,417","          －","  6,456,605","          －","    255,961","  6,200,644"," 16,299,418","    854,727","  1,328,537","    423,735","    134,432","          －","          －","          －","          －","         73","          －","          －","          －","          －","    338,308"
"99年 7月"," 73,593,442"," 68,429,814","  7,564,852","-21,116,337","  1,869,133","-22,985,470","  2,443,350","  1,983,355","    459,995","  7,082,947","  7,580,234","    334,946","  3,748,277","          －"," 52,001,076","          －","  5,381,960","          －","    188,165","  5,193,795","    410,404","    600,095","  1,097,548","  1,175,311","    124,526","          －","          －","          －","          －","        625","          －","          －","          －","          －","  2,358,849"
"99年 8月"," 96,972,613"," 94,514,874","  7,397,666"," 48,848,134","  5,982,859"," 42,865,275","  1,506,352","  1,073,659","    432,693"," 16,498,982"," 10,182,868","    356,328","  4,898,718","          －"," -3,727,244","          －","  5,774,812","          －","    276,529","  5,498,283","    522,720","    651,461","  1,018,162","    433,895","    151,848","          －","          －","          －","          －","        172","          －","          －","          －","          －","    139,637"
"99年 9月","180,785,855","175,190,039","  7,164,611"," 68,734,457"," 31,215,491"," 37,518,966"," 13,906,907"," 13,340,153","    566,754"," 14,679,674","  9,396,777","    365,468","  2,875,901","          －"," 48,543,921","          －","  6,424,152","          －","  1,131,282","  5,292,870","    410,224","    400,897","    992,659","  1,149,606","    144,701","          －","          －","          －","          －","         84","          －","          －","          －","          －","  2,268,165"
"99年 10月"," 94,191,650"," 90,580,424","  7,911,264"," 57,371,284"," 48,091,828","  9,279,456","  2,174,698","  1,610,869","    563,829","  6,964,404","  8,894,470","    389,210","  4,378,416","          －"," -6,647,743","          －","  6,767,113","          －","    689,429","  6,077,684","    290,017","    536,306","  1,068,073","    353,369","    129,525","          －","          －","          －","          －","         18","          －","          －","          －","          －","     32,434"
"99年 11月","161,867,354","153,390,563","  8,137,046"," 20,677,515","  5,204,107"," 15,473,408","  3,304,061","  2,632,794","    671,267"," 17,334,443","  8,147,591","    385,196","  3,095,923","          －"," 49,609,478","          －"," 39,223,081","          －"," 32,979,790","  6,243,291","    248,063","    740,976","  1,217,746","  1,130,823","    138,573","          －","          －","          －","          －","         48","          －","          －","          －","          －","  6,068,185"
"99年 12月","116,378,654","112,365,569","  9,298,010"," 24,385,157","  5,243,031"," 19,142,126","  5,879,271","  2,214,325","  3,664,946"," 16,706,431"," 11,787,660","    454,045","  4,599,651","          －","  3,953,594","         11"," 32,502,173","          －"," 25,203,903","  7,298,270","    499,265","    245,608","  1,475,680","    439,434","    139,426","          －","          －","          －","          －","        153","          －","          －","          －","          －","     73,517"
"100年","1,764,610,616","1,703,988,545"," 96,322,743","710,191,056","367,186,074","343,004,982"," 23,658,842"," 15,847,227","  7,811,615","164,876,634"," 93,990,479","  5,859,643"," 44,660,361","          －","283,884,285","         86","141,981,922","          －"," 63,374,107"," 78,607,815"," 59,466,872"," 55,380,372"," 12,640,465","  9,397,243","  1,676,424","          －","          －","          －","          －","      1,118","          －","          －","          －","          －"," 23,806,475"
"100年 1月","115,288,903","109,058,713","  7,341,790"," 21,583,658","    782,521"," 20,801,137","  1,159,166","    730,841","    428,325","  6,511,279","  9,112,182","    403,489","  4,641,356","          －"," 44,499,804","          －","  9,825,915","          －","    938,132","  8,887,783","    244,477","  1,010,451","  1,374,002","  1,215,889","    135,204","          －","          －","          －","          －","         51","          －","          －","          －","          －","  3,892,828"
"100年 2月"," 56,603,175"," 52,601,907","  5,860,062"," 28,040,141","  2,774,826"," 25,265,315","  1,281,056","    800,349","    480,707"," 15,849,783","  6,490,635","    362,803","  3,061,678","          －","-15,695,878","          －","  5,341,112","          －","    255,902","  5,085,210","    164,137","    596,570","    837,584","    286,337","    125,864","          －","          －","          －","          －","         23","          －","          －","          －","          －","    125,215"
"100年 3月","138,085,426","131,521,899","  8,715,535"," 19,090,803","  1,360,554"," 17,730,249","  1,956,822","  1,323,964","    632,858"," 14,370,172"," 10,177,247","    595,288","  2,817,257","          －"," 59,228,300","          －","  9,219,595","          －","    324,377","  8,895,218","    266,846","  2,466,549","  1,336,259","  1,119,139","    162,086","          －","          －","          －","          －","          1","          －","          －","          －","          －","  3,661,716"
"100年 4月"," 91,052,738"," 88,014,619","  8,330,534"," 15,834,506","   -838,693"," 16,673,199","  1,761,102","  1,059,413","    701,689"," 10,912,026","  7,387,359","    435,745","  3,415,197","          －","    385,813","          －","  6,437,596","          －","    593,340","  5,844,256","  1,332,728"," 30,246,643","  1,064,309","    333,776","    137,246","          －","          －","          －","          －","         39","          －","          －","          －","          －","     30,769"
"100年 5月","282,226,868","275,849,847","  7,765,996","121,331,713"," 89,723,094"," 31,608,619","  1,525,974","  1,029,112","    496,862"," 17,423,850","  8,288,581","    511,958","  3,290,052","          －"," 52,179,166","          －","  6,948,274","          －","    368,697","  6,579,577"," 36,980,950"," 17,083,671","  1,186,061","  1,184,014","    149,439","          －","          －","          －","          －","        148","          －","          －","          －","          －","  3,867,751"
"100年 6月","314,182,089","311,471,926","  7,924,689","253,079,895","139,554,014","113,525,881","  1,563,225","  1,057,084","    506,141"," 16,288,612","  7,662,955","    523,659","  3,845,174","          －"," -6,219,575","          －","  6,164,505","          －","    235,948","  5,928,557"," 18,081,387","    902,316","  1,060,482","    454,151","    140,700","          －","          －","          －","          －","       -249","          －","          －","          －","          －","     67,742"
"100年 7月"," 69,925,528"," 63,401,761","  7,806,061","-26,803,728","  1,802,723","-28,606,451","  1,416,399","    811,792","    604,607","  7,733,230","  8,158,546","    449,738","  3,819,259","          －"," 51,261,933","          －","  6,038,252","          －","    238,694","  5,799,558","    468,012","    634,894","  1,023,136","  1,257,253","    138,658","          －","          －","          －","          －","        118","          －","          －","          －","          －","  3,883,165"
"100年 8月","116,295,930","112,795,790","  8,145,735"," 67,418,853","  7,660,532"," 59,758,321","  2,156,593","  1,507,670","    648,923"," 17,262,901"," 10,669,490","    744,501","  4,254,083","          －"," -7,064,535","          －","  6,488,564","          －","    350,622","  6,137,942","    471,889","    574,591","  1,093,097","    426,887","    153,034","          －","          －","          －","          －","        107","          －","          －","          －","          －","     79,950"
"100年 9月","193,334,136","186,294,102","  8,492,509"," 88,528,664"," 50,420,990"," 38,107,674","  1,996,653","  1,524,586","    472,067"," 16,821,723","  7,356,073","    543,084","  4,199,230","          －"," 49,349,327","          －","  5,945,417","          －","    249,557","  5,695,860","    460,268","    356,413","    928,710","  1,177,330","    138,689","          －","          －","          －","          －","         12","          －","          －","          －","          －","  4,186,424"
"100年 10月","108,928,899","106,425,555","  8,385,262"," 73,900,270"," 65,920,468","  7,979,802","  2,932,924","  2,075,772","    857,152","  7,714,140","  6,085,033","    379,996","  3,664,591","          －"," -6,028,385","          －","  7,147,254","          －","    966,864","  6,180,390","    360,056","    538,893","    877,120","    334,882","    133,473","          －","          －","          －","          －","         46","          －","          －","          －","          －","     33,464"
"100年 11月","169,095,042","162,535,932","  8,331,121"," 19,617,533","    724,647"," 18,892,886","  2,939,256","  2,127,274","    811,982"," 20,228,446","  6,960,613","    496,620","  3,467,384","          －"," 57,715,892","          －"," 39,528,142","          －"," 33,753,930","  5,774,212","    330,105","    770,120","    898,201","  1,113,769","    137,431","          －","          －","          －","          －","      1,299","          －","          －","          －","          －","  3,935,696"
"100年 12月","109,591,882","104,016,494","  9,223,449"," 28,568,748","  7,300,398"," 21,268,350","  2,969,672","  1,799,370","  1,170,302"," 13,760,472","  5,641,765","    412,762","  4,185,100","          －","  4,272,423","         86"," 32,897,296","          －"," 25,098,044","  7,799,252","    306,017","    199,261","    961,504","    493,816","    124,600","          －","          －","          －","          －","       -477","          －","          －","          －","          －","     41,755"
"101年","1,796,697,193","1,733,349,863"," 94,918,150","760,809,633","367,744,332","393,065,301"," 28,280,408"," 19,276,361","  9,004,047","160,897,298"," 71,940,358","  4,297,887"," 44,938,842","          －","281,817,236","          －","143,848,851","          －"," 62,712,169"," 81,136,682"," 61,796,279"," 56,533,991"," 11,693,005"," 10,009,459","  1,566,328","          －","          －","          －","          －","      2,138","          －","          －","          －","          －"," 24,719,963"
"101年 1月"," 93,448,373"," 87,164,543","  6,478,513"," 19,995,163","  1,477,597"," 18,517,566","    911,874","    517,618","    394,256","  6,203,723","  3,943,151","    204,845","  2,976,114","          －"," 37,668,528","          －","  5,779,754","          －","    388,077","  5,391,677","    169,574","    818,650","    633,410","  1,252,777","    128,473","          －","          －","          －","          －","         -6","          －","          －","          －","          －","  3,852,707"
"101年 2月"," 74,161,661"," 70,860,284","  6,535,119"," 32,861,518","     62,337"," 32,799,181","  3,466,453","  2,438,509","  1,027,944"," 13,542,126","  9,458,487","    405,151","  3,625,222","          －"," -6,803,266","          －","  5,704,692","          －","    390,765","  5,313,927","    197,175","    691,251","    758,641","    285,017","    132,304","          －","          －","          －","          －","        394","          －","          －","          －","          －","     39,510"
"101年 3月","140,016,790","132,185,371","  8,410,723"," 22,096,906","  2,839,426"," 19,257,480","  2,251,625","  1,385,725","    865,900"," 18,990,379","  8,567,967","    446,735","  3,702,445","          －"," 55,877,465","          －","  6,992,414","          －","    392,095","  6,600,319","    219,272","  2,352,148","  1,010,675","  1,131,053","    135,546","          －","          －","          －","          －","         18","          －","          －","          －","          －","  4,069,080"
"101年 4月"," 90,633,650"," 88,372,360","  7,715,087"," 17,900,886","    305,309"," 17,595,577","  1,444,538","    888,405","    556,133"," 13,533,293","  5,705,261","    410,453","  3,866,531","          －"," -1,091,965","          －","  6,505,428","          －","    413,136","  6,092,292","    787,612"," 30,153,177","    954,698","    363,529","    123,672","          －","          －","          －","          －","        160","          －","          －","          －","          －","     40,979"
"101年 5月","304,924,104","296,854,243","  8,258,135","138,170,600"," 97,925,305"," 40,245,295","  2,938,294","  2,438,736","    499,558"," 14,199,630","  5,509,173","    421,306","  3,431,752","          －"," 54,575,085","          －","  8,527,245","          －","    339,835","  8,187,410"," 39,708,027"," 18,665,006","  1,108,707","  1,207,763","    133,503","          －","          －","          －","          －","         17","          －","          －","          －","          －","  4,184,517"
"101年 6月","342,228,955","338,904,914","  7,479,760","278,422,230","131,741,421","146,680,809","  5,030,769","  4,460,765","    570,004"," 13,391,793","  5,125,163","    375,978","  4,072,745","          －"," -3,602,076","          －","  7,747,122","          －","    155,131","  7,591,991"," 18,497,718","    887,452","    955,197","    398,050","    122,932","          －","          －","          －","          －","         81","          －","          －","          －","          －","     21,645"
"101年 7月"," 88,440,474"," 80,925,951","  8,232,364","-16,157,708","  2,273,011","-18,430,719","  2,177,596","  1,308,689","    868,907"," 14,135,060","  4,897,295","    352,264","  3,890,468","          －"," 50,772,500","          －","  8,646,156","          －","    202,248","  8,443,908","    577,771","    663,454","  1,251,941","  1,354,998","    131,597","          －","          －","          －","          －","        195","          －","          －","          －","          －","  4,261,236"
"101年 8月"," 99,589,428"," 96,442,444","  8,248,522"," 59,393,207","  5,273,805"," 54,119,402","  2,434,527","  1,773,805","    660,722"," 14,415,355","  6,059,448","    337,484","  3,998,176","          －"," -6,502,323","          －","  5,664,727","          －","    325,764","  5,338,963","    458,343","    500,927","    855,199","    437,834","    141,006","          －","          －","          －","          －","         12","          －","          －","          －","          －","     51,708"
