縣市別碼(新),鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
07,29,5,607,342,265,0,342,0,342,0,0,0,0,0,0,30,0,0,12,25,0,0,70,0,0,0,4,0,6,0,0,11,32,75,0,0
07,30,5,2245,1470,637,138,1558,50,1470,88,0,50,0,0,0,132,42,4,24,76,5,20,24,16,0,0,0,0,87,2,0,43,92,70,0,0
07,31,4,453,336,117,0,270,66,270,0,66,0,0,0,0,16,0,0,0,5,0,0,30,0,0,0,0,0,0,0,0,5,12,49,0,0
07,32,12,2336,1502,793,41,1543,0,1502,41,0,0,0,0,0,153,13,0,24,74,10,20,98,24,0,0,0,0,0,0,0,36,136,205,0,0
07,33,5,177,80,58,39,119,0,80,39,0,0,0,0,0,0,0,0,0,2,0,0,37,0,0,0,0,0,0,0,0,1,0,18,0,0
07,34,7,754,580,171,0,580,0,580,0,0,0,0,0,3,22,0,0,6,32,0,0,40,0,0,0,0,0,0,0,0,11,28,32,0,0
07,35,9,2772,1333,670,769,1743,359,1224,519,109,250,0,0,0,151,0,0,27,74,0,11,113,33,0,58,0,0,14,0,0,21,59,109,0,0
07,36,5,289,171,118,0,171,0,171,0,0,0,0,0,0,0,0,0,2,5,2,0,38,0,0,0,0,0,0,0,0,4,67,0,0,0
07,37,1,59,33,26,0,25,8,25,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
07,38,4,653,427,226,0,427,0,427,0,0,0,0,0,0,20,0,0,10,31,0,0,65,0,0,0,0,0,7,0,0,10,25,58,0,0
11,01,2,232,16,16,200,66,150,16,50,0,150,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
11,03,1,125,48,77,0,48,0,48,0,0,0,0,0,0,6,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,1,0,10,0,0
11,04,1,184,127,57,0,100,27,100,0,27,0,0,0,0,8,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0,0
11,06,2,1236,775,289,172,809,138,775,34,0,138,0,0,0,63,2,0,9,30,3,12,0,10,0,0,0,5,20,0,0,6,15,114,0,0
11,07,2,519,315,172,32,347,0,315,32,0,0,0,0,0,32,0,0,5,20,1,0,54,0,0,0,0,0,10,0,0,5,7,37,1,0
12,01,3,1054,740,314,0,740,0,740,0,0,0,0,0,0,65,0,0,41,73,0,0,0,7,0,0,0,0,0,0,0,21,45,62,0,0
