SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,酸鹼值,pH,pH,8.2,
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,水溫,Water Temperature,WT,24.5,℃
牛鬥橋,Neodao Bridge,宜蘭縣,大同鄉,蘭陽溪流域,蘭陽溪,121.5652320,24.6409010,307219.87,2726121.72,2015-07-09,河川污染分類指標,River Pollution Index,RPI,1.0,
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,大腸桿菌群,Coliform Group,Coliform,9800,CFU/100mL
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,溶氧飽和度,Dissolved Oxygen Saturation,DOS,91.3,%
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,氯鹽,Chloride,Cl,75.7,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,氨氮,NH3-N,NH3-N,0.05,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,化學需氧量,Chemical Oxygen Demand,COD,5.7,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,生化需氧量,Biochemical Oxygen Demand,BOD5,<1.0,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,溶氧(電極法),Dissolved Oxygen,DO,7.3,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,懸浮固體,Suspended Solid,SS,93.7,mg/L
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,氣溫,Temperature,TMP,29.6,℃
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,導電度,Conductivity,EC,532,μmho/cm25℃
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,酸鹼值,pH,pH,8.1,
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,水溫,Water Temperature,WT,26.4,℃
噶瑪蘭橋(原為興蘭大橋),Sinlanda Bridge,宜蘭縣,壯圍鄉,蘭陽溪流域,蘭陽溪,121.8202310,24.7192370,332983.16,2734928.79,2015-07-09,河川污染分類指標,River Pollution Index,RPI,2.3,
