id,行業別,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
28,金屬製品製造業合計,3718442103,3975837373,4486106855,4377900876,4845775240,5248506539,5676115563,5730061842,5891350812,6054367951,5927117835,5125959511,6283536421,6565526452,6560958485,6754042653,7066044543
291,鍋爐及原動機製造修配,79040390,77504828,87275534,84323105,85164557,92159089,96814608,103514453,104042913,109057210,101635800,94437538,102734165,102012106,101330925,93170778,94150590
292,農業及園藝機械製造修配,20096352,19612759,21200513,20112127,22235185,22292441,22747293,22100675,22749216,25538111,25105789,21925218,29015974,29500096,27237960,27152291,28472277
293,金屬加工用機械製造修配,291344945,280263204,290687048,263774597,284966095,301936868,333468969,355413673,375869101,404037382,425234040,356086140,457099297,491856313,498198040,533675597,560980467
294,專用生產機械製造修配,109429598,120579359,133156656,123593559,138551085,154550611,166387670,168675352,176794057,195384973,192155377,156175811,188755407,200433677,185864104,192946950,202540595
295,建築及礦業機械設備製造修配,18307440,17418610,21140100,20324757,20155749,24222560,27635530,27150294,26931751,28274742,27325035,18506699,27822557,29935556,29164804,32762626,36307121
296,事務機器製造,8214662,10047219,12738915,22040238,38604227,42985069,46248318,41530197,42726080,40573437,33850163,41097613,39642322,36356597,37379102,37195476,32103858
297,污染防治設備製造修配,37627999,41697958,43742971,42187810,44125124,44303080,46543406,46764503,48669782,50728488,49891199,44432038,49216920,51667648,55973670,53919978,55798823
298,通用機械設備製造修配,27304100,33682567,37696743,37483032,40215455,43066217,45523195,44024042,44249761,46121477,51812831,46164391,58550593,59611288,56394418,56863715,56451881
299,其他機械製造修配,567669152,618727987,686358606,634640998,713837459,769794978,810945437,809708998,837019644,853508762,864866522,747502282,963917166,1068110783,1049210097,1080866771,1150353276
29,機械設備製造修配業合計,1159034638,1219534491,1333997086,1248480222,1387854935,1495310913,1596314426,1618882187,1679052305,1753224582,1771876756,1526327730,1916754401,2069484064,2040753120,2108554182,2217158888
311,電力機械器材製造修配,754294599,824215105,908911658,712483476,732677225,756621774,775659981,753894729,731053027,694266589,701586484,644899189,756156176,791645862,779896485,795450957,816306817
312,家用電器製造,397569757,415750210,414067520,374018500,348044480,430984388,445440101,437118970,399165436,370364685,350154485,305530290,289262069,320829131,385871055,385973327,375086876
313,照明設備製造,131288031,132195093,133757292,122016079,116050949,117049015,123293668,141068805,186682160,205284040,171033636,143427260,113431377,89554317,113399273,126973918,124202107
314,資料儲存及處理設備製造,249537430,655495538,1448599342,1952127943,2141019026,2404926569,2832614919,2630501886,2778496534,2936758739,3054782809,2999350999,3234099936,3305952507,3373675848,3563040862,4003924433
315,視聽電子產品製造,140741422,205323830,266278284,359931436,392193931,370831715,389570867,361781376,324213561,389642698,405920539,383692714,457929115,494482182,592880827,601527860,606212292
316,通信機械器材製造,1061972510,1055770466,1062568078,896761694,854986761,774886891,805110062,865928954,878851046,920950847,928705061,872317615,946674359,944352778,919757739,942976370,954199850
317,電子零組件製造,5572265768,7054030127,9081002669,9587134719,10952215959,12526634187,14919138912,17913619142,19611309312,21332449260,22508009947,21284799567,24297356415,26251060569,27164014982,28924787114,30157605639
318,電池製造,137307737,146695051,167776942,171318876,171814273,158184903,154624448,161352981,166043443,176305474,181050914,218444399,293238956,388461080,407558077,471876771,509463890
319,其他電力及電子機械器材製造修配,728666125,1011765945,1353186733,1385917366,1458418836,1583448151,1849192150,2532117644,3361146523,3953451260,4453818949,4641521042,5410218789,5658515963,5858417036,6077462222,6140599258
31,電力及電子機械器材製造修配業合計,9173643379,11501241365,14836148518,15561710089,17167421441,19123567593,22294645108,25797384487,28463961042,30979473592,32755062824,31493983075,35798367192,38244854389,39595471322,41890069401,43687601162
321,船舶及其零件製造修配,127420133,139703641,278088356,304459061,308168699,302154774,322262427,323520375,343117943,346923563,335340733,286288889,281367858,272412764,278583597,282620077,294487568
322,鐵路車輛及其零件製造修配,27955053,25435831,26612281,26269400,26640793,27412711,28917214,27004245,27153422,29047616,30796052,29204373,25965400,25051527,24463096,26516688,27677987
323,汽車及其零件製造,795095847,812911010,868252950,803121548,899315651,974339718,1056099701,1105620696,1079393408,1128683428,1069628520,985189493,1168630002,1203768794,1199004824,1227532450,1275867156
324,機車及其零件製造,143173925,141230992,163480933,149669660,162385233,182404370,205093956,204436579,197675868,212326476,230917807,203457219,228249017,204243399,181783925,187969521,198915225
325,自行車及其零件製造,90691282,91621435,100904775,85346060,86822016,89698280,108902174,107702034,109337678,117326715,122878938,107197883,129872282,135214198,134870512,138453626,150741450
326,航空器及其零件製造修配,163786707,159657712,173432943,178845455,175828895,184027083,194648299,211692703,221440110,248475057,242430515,214474123,234066713,257165419,273174563,284904749,302161877
329,其他運輸工具及其零件製造修配,104822057,117191037,122881246,107271903,114830490,130085937,166969742,179988893,178088766,181867724,192070491,166963107,201667631,227996727,229319409,237610771,249525288
32,運輸工具製造修配業合計,1452945004,1487751658,1733653484,1654983088,1773991776,1890122873,2082893513,2159965525,2156207195,2264650579,2224063056,1992775087,2269818903,2325852828,2321199926,2385607882,2499376551
331,科學、光學及工業精密器械製造,128974765,110573267,145608222,174535593,198398165,234503563,304912413,355640864,454578767,476436472,518593949,500800715,655879604,919771650,1115789941,1193080166,1144430454
332,鐘錶製造,20154113,18972980,19741530,17170007,19679145,22380520,27258617,28190704,30846627,27743740,30336071,28851104,32399607,32510863,32273158,33402690,31962652
333,醫療機械器材設備製造,9179904,9634182,11456796,11600478,12304788,14117262,17885823,26503279,34150276,40177500,44873327,49801004,59232584,68097017,72710714,80084721,92118223
339,其他精密器械製造,81496505,89429578,101846525,96533185,109674313,118161398,120792309,188457319,365761178,520845910,477724830,276919101,150612642,157607130,165830625,158388393,164803209
33,精密器械製造業合計,239805287,228610007,278653073,299839263,340056410,389162743,470849162,598792166,885336848,1065203622,1071528177,856371924,898124437,1177986660,1386604438,1464955970,1433314538
391,育樂用品製造,188978793,182537759,192901206,179316322,186010991,196054377,196218931,192037320,203091243,202863187,202175505,166439736,187785715,178921559,171117442,167389389,158847502
