"表05 青年勞工現職工作
",,,,,,,,"平均每月薪資
1年-未滿3年," 1,282 ", 100.00 , 9.95 , 7.97 , 25.47 , 24.10 ,, 16.22 , 6.57 , 5.39 , 1.78 , 2.54 ," 26,617 "
3年-未滿6年," 1,366 ", 100.00 , 3.69 , 5.52 , 20.04 , 24.54 ,, 22.57 , 10.56 , 5.75 , 3.00 , 4.33 ," 29,468 "
6年-未滿10年, 773 , 100.00 , 0.88 , 5.44 , 23.55 , 29.37 ,, 21.19 , 8.05 , 6.51 , 1.88 , 3.12 ," 28,932 "
10年及以上, 176 , 100.00 , 1.50 , 5.39 , 22.65 , 33.67 ,, 20.53 , 5.70 , 8.17 , 1.24 , 1.14 ," 28,048 "
勞工工作型態,,,,,,,,,,,,,
全日工時," 3,665 ", 100.00 , - , 7.05 , 24.53 , 27.57 ,, 20.50 , 8.61 , 6.02 , 2.29 , 3.43 ," 29,044 "
部份工時, 399 , 100.00 , 56.92 , 6.72 , 17.10 , 12.02 ,, 4.00 , 1.79 , 0.71 , - , 0.74 ," 17,408 "
勞動契約性質,,,,,,,,,,,,,
定期勞動契約, 754 , 100.00 , 13.56 , 10.14 , 24.38 , 16.05 ,, 18.77 , 8.07 , 4.79 , 2.28 , 1.97 ," 25,952 "
不定期勞動契約," 3,265 ", 100.00 , 6.89 , 6.45 , 23.19 , 27.06 ,, 18.19 , 7.59 , 5.41 , 1.92 , 3.29 ," 27,729 "
未約定, 45 , 100.00 , 1.11 , 1.57 , 32.92 , 40.88 ,, 10.89 , 6.63 , 2.88 , 1.41 , 1.71 ," 26,785 "
勞工工作性質,,,,,,,,,,,,,
一般僱用," 3,923 ", 100.00 , 7.79 , 7.01 , 23.23 , 25.42 ,, 18.17 , 7.80 , 5.47 , 1.96 , 3.14 ," 27,506 "
承攬, 39 , 100.00 , 7.38 , 3.36 , 16.01 , 28.22 ,, 30.71 , 10.94 , 0.29 , - , 3.08 ," 27,586 "
派遣人力, 102 , 100.00 , 12.49 , 7.98 , 34.83 , 24.20 ,, 15.77 , 1.83 , - , 2.85 , 0.04 ," 24,567 "
